gen_model,fit_model,sim_idx,gen_idx,loo_elpd,rhat_max,ess_min
win stay lose shift,* $\mathit{r}$ predator,28,0,-6857.600262538478,1.0090734040515301,348.73908236016484
win stay lose shift,* $\mathit{p}$ gain,28,0,-6856.485391394975,1.0120555358729904,324.55216486383995
win stay lose shift,expected gain naive,28,0,-6854.964861484446,1.0083009214056213,330.87066646499295
win stay lose shift,marginal value,28,0,-6856.043620247412,1.0083985595490759,348.9344864647806
win stay lose shift,multi-heuristic policy,28,0,-6855.9965170873365,1.0202556472215947,248.5784088447804
win stay lose shift,optimal policy values,28,0,-6857.571438840666,1.0429124566938839,133.0305968878808
win stay lose shift,win stay lose shift,29,0,-6660.950287671328,1.00816615658634,519.156292035214
win stay lose shift,** wait when safe,29,0,-6870.691974537406,1.0078874708937975,542.9755263277475
win stay lose shift,** binary energy state,29,0,-6865.98303372798,1.0159351525411733,299.04068100809315
win stay lose shift,weather type,29,0,-6873.205310050356,1.0060455084814284,395.1110445093374
win stay lose shift,* $\mathit{r}$ predator,29,0,-6873.51870590161,1.0123566308077678,439.93071898033435
win stay lose shift,* $\mathit{p}$ gain,29,0,-6869.31825371458,1.0210790711199067,322.23273348546337
win stay lose shift,expected gain naive,29,0,-6870.501932163109,1.0138034502564535,351.7166325786021
win stay lose shift,marginal value,29,0,-6872.610937480087,1.0105700874664778,463.40651189212093
