foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2
-1.0,-0.8218518518518518,-0.5555555555555556,-0.47617283950617284,-0.3474074074074074,-0.19972222222222222,0.0,-1.0,-0.891775,-0.73,-0.50495,-0.44175277777777777,-0.059916666666666674,0.0,-1.0,-1.0,-0.6427777777777778,-0.5991666666666666,0.0,0.0,0.0,-1.0,-1.0,-0.6427777777777778,-0.5991666666666666,0.0,0.0,0.0
-1.0,-0.8218518518518518,-0.773582853223594,-0.5237363168724279,-0.4187526234567901,-0.30873587105624145,-0.1635204732510288,-1.0,-0.891775,-0.8624515833333333,-0.6397924583333334,-0.46315634259259264,-0.3689703611111111,-0.04905614197530865,-1.0,-1.0,-0.8568134259259259,-0.5991666666666666,-0.4905614197530864,0.0,0.0,-1.0,-1.0,-0.8568134259259259,-0.5991666666666666,-0.4905614197530864,0.0,0.0
-1.0,-0.9178658398110044,-0.8050895518975766,-0.7197160871056242,-0.4667596174363664,-0.3964997113625972,-0.28514038237311384,-1.0,-0.9501034976851852,-0.8815919027777778,-0.7588501687500001,-0.5992561705246914,-0.43523425377229086,-0.3339464734825103,-1.0,-1.0,-0.8568134259259259,-0.81519813957476,-0.5614514917695472,-0.44095448302469137,0.0,-1.0,-1.0,-0.8568134259259259,-0.81519813957476,-0.5614514917695472,-0.44095448302469137,0.0
-1.0,-0.9248673284052229,-0.8841258346345833,-0.7693768395453353,-0.6808138793708404,-0.4412689691767643,-0.3606733881099278,-1.0,-0.9543569020061728,-0.9296064445405092,-0.8272188410540982,-0.7291819901824226,-0.5488435194856969,-0.39781481219264403,-1.0,-1.0,-0.9339846687480948,-0.8309514889117513,-0.7392831279278121,-0.5141055546029568,-0.41586698256744403,-1.0,-1.0,-0.9339846687480948,-0.8309514889117513,-0.7392831279278121,-0.5141055546029568,-0.41586698256744403
-1.0,-0.9586071731500205,-0.9103545956887631,-0.8554684410575469,-0.7270352969279587,-0.648241166663024,-0.5913184212286174,-1.0,-0.9748538576886374,-0.9455404168809235,-0.8823050749692801,-0.7942624401709862,-0.6960101603884233,-0.6263743899800966,-1.0,-1.0,-0.9396121152056979,-0.9068661395875462,-0.7982978402997167,-0.7049979347766315,-0.47768726188986055,-1.0,-1.0,-0.9396121152056979,-0.9068661395875462,-0.7982978402997167,-0.7049979347766315,-0.47768726188986055
-1.0,-0.9666592690876581,-0.9417274480059616,-0.8862285005596164,-0.8265178790283715,-0.7137191811031067,-0.6709674509665141,-1.0,-0.9797455059707523,-0.9645994246636217,-0.9144154192225348,-0.8608864946256335,-0.7688725538034359,-0.6950730236977714,-1.0,-1.0,-0.966730515419329,-0.9249833554472304,-0.8688867580134135,-0.7606488685494724,-0.6721256635257237,-1.0,-1.0,-0.966730515419329,-0.9249833554472304,-0.8688867580134135,-0.7606488685494724,-0.6721256635257237
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.6,-0.6,0.0,0.0,0.0,0.0,-1.0,-0.6666666666666667,-0.6666666666666667,-0.3333333333333333,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.6,-0.6,-0.38,0.0,0.0,0.0,-1.0,-0.6666666666666667,-0.6666666666666667,-0.5444444444444444,-0.2111111111111111,0.0,0.0,-1.0,-1.0,-0.6333333333333333,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.6333333333333333,0.0,0.0,0.0,0.0
-1.0,-0.8466666666666667,-0.6,-0.38,-0.37,0.0,0.0,-1.0,-0.8722222222222222,-0.6666666666666667,-0.5444444444444444,-0.41666666666666663,-0.20555555555555555,0.0,-1.0,-1.0,-0.6333333333333333,-0.6166666666666667,0.0,0.0,0.0,-1.0,-1.0,-0.6333333333333333,-0.6166666666666667,0.0,0.0,0.0
